改动,Java版1.12.2,Java版1.12.2,Java版1.13,Java版1.13
拆分,墙上的旗帜 [注 1],wall_banner,墙上的品红色旗帜 [注 1],magenta_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的淡蓝色旗帜 [注 1],light_blue_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的黄色旗帜 [注 1],yellow_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的黄绿色旗帜 [注 1],lime_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的粉红色旗帜 [注 1],pink_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的灰色旗帜 [注 1],gray_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的淡灰色旗帜 [注 1],light_gray_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的青色旗帜 [注 1],cyan_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的紫色旗帜 [注 1],purple_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的蓝色旗帜 [注 1],blue_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的棕色旗帜 [注 1],brown_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的绿色旗帜 [注 1],green_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的红色旗帜 [注 1],red_wall_banner
拆分,墙上的旗帜 [注 1],wall_banner,墙上的黑色旗帜 [注 1],black_wall_banner
重命名,爆裂紫颂果,chorus_fruit_popped,爆裂紫颂果,popped_chorus_fruit
重命名,音乐唱片,record_13,音乐唱片,music_disc_13
重命名,音乐唱片,record_cat,音乐唱片,music_disc_cat
重命名,音乐唱片,record_blocks,音乐唱片,music_disc_blocks
重命名,音乐唱片,record_chirp,音乐唱片,music_disc_chirp
重命名,音乐唱片,record_far,音乐唱片,music_disc_far
重命名,音乐唱片,record_mall,音乐唱片,music_disc_mall
重命名,音乐唱片,record_mellohi,音乐唱片,music_disc_mellohi
重命名,音乐唱片,record_stal,音乐唱片,music_disc_stal
重命名,音乐唱片,record_strad,音乐唱片,music_disc_strad
重命名,音乐唱片,record_ward,音乐唱片,music_disc_ward
重命名,音乐唱片,record_11,音乐唱片,music_disc_11
重命名,音乐唱片,record_wait,音乐唱片,music_disc_wait
